id,name
1,Acolyte
2,Acolyte - Baldur's Gate
3,Air Ashari
4,Anthropologist
5,Archaeologist
6,Astral Drifter
7,Athlete
8,Azorius Functionary
9,Boros Legionnaire
10,Celebrity Adventurer's Scion
11,Charlatan
12,Charlatan - Baldur's Gate
13,City Watch
14,Clan Crafter
15,Claret Order Member
16,Cloistered Scholar
17,Courtier
18,Criminal
19,Criminal - Baldur's Gate
20,Dimir Operative
21,Entertainer
22,Entertainer - Baldur's Gate
23,Faceless
24,Faction Agent
25,Failed Merchant
26,Far Traveler
27,Feylost
28,Fisher
29,Folk Hero
30,Folk Hero - Baldur's Gate
31,Gambler
32,Gate Warden
33,Giant Foundling
34,Gladiator
35,Golgari Agent
36,Gruul Anarch
37,Grinner
38,Guild Artisan
39,Guild Artisan - Baldur's Gate
40,Guild Merchant
41,Haunted One
42,Hermit
43,Hermit - Baldur's Gate
44,House Agent
45,Inheritor
46,Investigator
47,Izzet Engineer
48,Knight
49,Knight of Solamnia
50,Knight of the Order
51,Lorehold Student
52,Mage of High Sorcery
53,Lyceum Student
54,Marine
55,Mercenary Veteran
56,Noble
57,Noble - Baldur's Gate
58,Orzhov Representative
59,Outlander
60,Outlander - Baldur's Gate
61,Pirate
62,Plaintiff
63,Planar Philosopher
64,Prismari Student
65,Quandrix Student
66,Rakdos Cultist
67,Rewarded
68,Rival Intern
69,Ruined
70,Rune Carver
71,Sage
72,Sage - Baldur's Gate
73,Sailor
74,Sailor - Baldur's Gate
75,Selesnya Initiate
76,Shipwright
77,Silverquill Student
78,Simic Scientist
79,Smuggler
80,Soldier
81,Soldier - Baldur's Gate
82,Spy
83,Urban Bounty Hunter
84,Urchin
85,Urchin - Baldur's Gate
86,Uthgardt Tribe Member
87,Volstrucker Agent
88,Waterdhavian Noble
89,Wildspacer
90,Witchlight Hand
91,Witherbloom Student
